Date,Open,High,Low,Close,Volume
28-Feb-18,28.49,28.49,27.90,28.00,10210
27-Feb-18,28.35,28.35,27.80,28.15,2817
26-Feb-18,28.30,29.00,28.15,28.55,5475
23-Feb-18,27.75,28.25,27.75,28.25,2537
22-Feb-18,27.95,29.03,27.70,27.70,6967
21-Feb-18,27.85,28.35,27.72,28.10,7840
20-Feb-18,27.30,27.95,27.30,27.55,11152
16-Feb-18,27.30,27.95,27.30,27.40,5764
15-Feb-18,27.60,27.90,27.30,27.45,5465
14-Feb-18,27.60,28.41,27.45,27.45,5237
13-Feb-18,27.55,28.10,27.55,27.70,5032
12-Feb-18,28.00,28.60,27.35,27.75,9186
9-Feb-18,28.45,28.45,27.87,28.00,4231
8-Feb-18,28.45,29.00,27.70,27.70,10931
7-Feb-18,27.60,28.65,27.60,27.90,4971
6-Feb-18,27.30,28.80,27.30,27.50,11226
5-Feb-18,28.70,28.70,27.45,27.45,12312
2-Feb-18,30.05,30.05,28.60,28.80,10339
1-Feb-18,30.10,30.30,30.05,30.30,2640
31-Jan-18,30.25,30.50,30.20,30.25,3639
30-Jan-18,30.30,30.40,30.20,30.40,2058
29-Jan-18,30.30,30.50,30.27,30.30,3248
26-Jan-18,30.25,30.35,30.25,30.35,2176
25-Jan-18,30.50,30.50,30.05,30.35,4796
24-Jan-18,30.35,30.45,30.20,30.45,1303
23-Jan-18,30.45,30.45,30.05,30.40,5359
22-Jan-18,30.30,30.50,30.12,30.50,2966
19-Jan-18,30.25,30.50,30.25,30.45,4137
18-Jan-18,30.15,30.50,30.15,30.35,1844
17-Jan-18,30.00,30.45,30.00,30.45,4290
16-Jan-18,29.83,30.15,29.77,29.85,11145
12-Jan-18,29.71,29.90,29.71,29.90,3950
11-Jan-18,29.44,29.90,29.44,29.80,4820
10-Jan-18,29.70,29.95,29.48,29.60,2553
9-Jan-18,29.65,29.80,29.30,29.50,5114
8-Jan-18,29.65,29.75,29.50,29.70,2610
5-Jan-18,29.65,30.00,29.30,29.95,5480
4-Jan-18,29.65,29.70,29.53,29.70,7833
3-Jan-18,29.55,29.70,29.43,29.65,10413
2-Jan-18,29.65,30.00,29.50,29.75,7190
29-Dec-17,30.20,30.35,29.50,29.55,7214
28-Dec-17,30.10,30.25,29.89,30.05,6361
27-Dec-17,30.35,30.50,30.00,30.10,10892
26-Dec-17,30.50,30.50,30.40,30.45,7501
22-Dec-17,30.25,30.50,30.05,30.05,7256
21-Dec-17,30.00,30.50,30.00,30.35,18233
20-Dec-17,30.00,30.00,29.90,29.90,11367
19-Dec-17,29.59,29.92,29.30,29.75,15247
18-Dec-17,29.20,30.10,29.20,29.80,15936
15-Dec-17,29.25,29.95,28.55,28.80,76308
14-Dec-17,29.05,29.25,29.05,29.10,9282
13-Dec-17,29.00,29.15,28.90,29.15,13060
12-Dec-17,29.01,29.10,28.70,28.80,8262
11-Dec-17,29.30,29.45,29.00,29.05,8547
8-Dec-17,29.95,30.05,29.10,29.20,10803
7-Dec-17,29.70,29.95,29.52,29.85,8148
6-Dec-17,29.30,29.75,29.30,29.65,6975
5-Dec-17,29.60,29.85,29.30,29.35,8643
4-Dec-17,29.45,29.95,29.25,29.40,11190
1-Dec-17,29.00,29.35,28.74,29.25,8566
30-Nov-17,28.70,29.45,28.55,29.00,15478
29-Nov-17,28.90,29.46,28.72,29.00,22477
28-Nov-17,28.60,28.95,28.60,28.90,13688
27-Nov-17,27.90,28.50,27.85,28.50,8456
24-Nov-17,28.00,28.00,27.85,28.00,2116
22-Nov-17,28.20,28.20,27.85,27.85,7548
21-Nov-17,28.20,28.60,28.10,28.10,18023
20-Nov-17,28.00,28.15,27.80,28.15,3933
17-Nov-17,27.90,28.05,27.70,28.00,3305
16-Nov-17,28.05,28.25,27.87,28.05,10150
15-Nov-17,27.65,27.65,27.55,27.55,2205
14-Nov-17,27.95,28.00,27.88,27.95,1951
13-Nov-17,28.10,28.10,28.00,28.00,1530
10-Nov-17,27.52,28.15,27.50,27.85,9983
9-Nov-17,26.80,27.15,26.80,27.15,8187
8-Nov-17,27.75,27.75,27.12,27.40,6756
7-Nov-17,28.00,28.00,27.75,27.75,9998
6-Nov-17,28.00,28.00,27.85,27.85,1439
3-Nov-17,27.63,27.98,27.63,27.80,7318
2-Nov-17,27.63,28.00,27.50,28.00,3455
1-Nov-17,27.90,28.05,27.50,27.60,4181
31-Oct-17,27.95,28.15,27.75,27.90,10531
30-Oct-17,28.45,28.45,27.80,27.80,2244
27-Oct-17,27.95,28.45,27.95,28.45,6506
26-Oct-17,28.25,28.25,27.95,28.10,3876
25-Oct-17,28.00,28.15,27.75,28.00,5097
24-Oct-17,28.00,28.20,28.00,28.00,3617
23-Oct-17,28.10,28.25,28.10,28.10,2378
20-Oct-17,28.10,28.45,28.10,28.30,2799
19-Oct-17,27.95,28.36,27.86,28.05,8040
18-Oct-17,28.20,28.40,28.04,28.20,4671
17-Oct-17,28.03,28.35,27.95,28.25,6068
16-Oct-17,28.45,28.45,27.88,28.45,2593
13-Oct-17,28.45,28.45,28.35,28.35,1173
12-Oct-17,28.30,28.95,28.30,28.35,3924
11-Oct-17,28.25,28.35,28.15,28.20,4713
10-Oct-17,27.85,28.35,27.85,28.35,4002
9-Oct-17,27.75,28.05,27.70,27.85,5114
6-Oct-17,28.05,28.25,27.90,28.05,2674
5-Oct-17,27.95,28.35,27.95,28.15,6896
4-Oct-17,27.95,28.16,27.95,27.95,2380
3-Oct-17,28.10,28.35,27.90,28.10,5677
2-Oct-17,27.75,28.25,27.75,28.15,6708
29-Sep-17,28.05,28.30,27.55,27.70,6301
28-Sep-17,27.90,28.20,27.90,28.15,7429
27-Sep-17,28.20,28.45,28.05,28.30,20597
26-Sep-17,27.90,28.35,27.50,28.20,18967
25-Sep-17,27.85,28.00,27.75,27.90,4100
22-Sep-17,27.95,28.00,27.85,28.00,3865
21-Sep-17,27.90,28.00,27.60,27.95,14327
20-Sep-17,27.80,28.00,27.75,27.85,9650
19-Sep-17,27.00,28.05,27.00,27.85,9528
18-Sep-17,27.05,27.90,27.05,27.70,12871
15-Sep-17,26.95,27.05,26.75,27.05,26886
14-Sep-17,27.25,27.25,26.45,26.90,10505
13-Sep-17,26.90,27.30,26.75,26.85,10313
12-Sep-17,27.25,28.35,26.65,26.80,5059
11-Sep-17,26.85,27.35,26.80,27.10,6966
8-Sep-17,26.35,26.95,26.35,26.65,3605
7-Sep-17,26.85,26.95,26.40,26.65,8320
6-Sep-17,26.45,26.95,26.35,26.75,8686
5-Sep-17,26.65,26.90,26.20,26.30,5090
1-Sep-17,26.10,26.95,26.10,26.75,4687
31-Aug-17,26.20,27.00,26.10,26.15,6169
30-Aug-17,26.45,26.90,26.00,26.00,6826
29-Aug-17,26.70,26.90,26.55,26.60,5578
28-Aug-17,26.60,27.75,26.60,26.70,9462
25-Aug-17,26.45,27.00,26.45,26.70,7282
24-Aug-17,26.35,26.60,26.25,26.45,4604
23-Aug-17,26.55,26.55,26.15,26.25,3926
22-Aug-17,26.30,26.55,26.25,26.55,4885
21-Aug-17,26.23,26.45,26.10,26.15,4585
18-Aug-17,26.05,26.80,26.05,26.20,11893
17-Aug-17,26.75,26.88,26.25,26.35,7951
16-Aug-17,27.63,27.63,26.90,26.95,7405
15-Aug-17,27.85,28.15,27.10,27.50,7006
14-Aug-17,27.35,28.20,27.35,27.75,12615
11-Aug-17,26.85,27.25,26.71,27.00,10275
10-Aug-17,26.30,27.40,25.75,26.75,13246
9-Aug-17,27.75,27.75,24.45,26.20,25647
8-Aug-17,27.70,28.20,27.70,27.80,5158
7-Aug-17,28.25,28.25,27.55,27.60,6983
4-Aug-17,28.35,28.35,28.25,28.25,2630
3-Aug-17,28.50,28.70,28.25,28.45,6039
2-Aug-17,28.92,28.92,28.45,28.45,3791
1-Aug-17,28.45,28.68,28.45,28.55,11788
31-Jul-17,28.26,28.80,28.26,28.45,2613
28-Jul-17,29.01,29.01,28.55,28.60,4124
27-Jul-17,28.37,29.20,28.37,28.40,4013
26-Jul-17,28.40,29.40,28.40,28.50,7603
25-Jul-17,28.45,29.48,28.45,28.90,8666
24-Jul-17,28.59,28.95,28.10,28.45,9653
21-Jul-17,28.85,30.50,28.60,28.60,12967
20-Jul-17,28.60,29.30,28.50,28.75,3237
19-Jul-17,28.75,29.00,28.30,28.50,7709
18-Jul-17,29.45,29.55,28.55,28.80,3997
17-Jul-17,30.00,30.00,29.00,29.45,7755
14-Jul-17,29.65,30.03,29.59,29.85,2651
13-Jul-17,30.25,30.25,29.50,29.90,10208
12-Jul-17,29.70,30.50,29.70,30.35,6717
11-Jul-17,29.50,29.90,29.50,29.60,7443
10-Jul-17,29.90,29.90,29.60,29.75,3469
7-Jul-17,30.20,30.45,29.90,29.90,3373
6-Jul-17,30.50,30.70,29.75,30.20,7368
5-Jul-17,30.65,30.90,29.80,30.00,9285
3-Jul-17,31.20,31.20,29.55,30.65,1355
30-Jun-17,31.20,31.20,30.45,30.50,4481
29-Jun-17,30.00,31.20,30.00,30.55,7458
28-Jun-17,29.75,30.10,29.70,30.00,4692
27-Jun-17,29.35,29.90,29.35,29.70,6247
26-Jun-17,29.65,30.20,29.50,29.85,3506
23-Jun-17,29.05,30.05,29.00,30.00,33500
22-Jun-17,29.34,29.50,29.05,29.15,4496
21-Jun-17,29.10,29.35,29.05,29.10,4688
20-Jun-17,29.15,29.40,29.10,29.10,4905
19-Jun-17,29.85,29.85,29.23,29.25,4990
16-Jun-17,28.75,29.35,28.75,29.10,17087
15-Jun-17,29.30,29.42,28.60,29.20,3195
14-Jun-17,29.00,29.35,28.90,29.20,4741
13-Jun-17,29.30,29.35,28.73,29.15,4721
12-Jun-17,28.70,29.60,28.30,29.40,10810
9-Jun-17,28.30,28.50,28.00,28.40,14458
8-Jun-17,28.42,28.75,28.15,28.25,7486
7-Jun-17,28.20,28.65,28.05,28.10,3989
6-Jun-17,28.70,28.70,28.20,28.20,6060
5-Jun-17,29.42,29.42,28.60,28.70,2527
2-Jun-17,28.80,29.20,28.65,28.95,9993
1-Jun-17,28.25,28.90,28.19,28.75,4915
31-May-17,28.05,28.25,28.00,28.25,4726
30-May-17,28.45,28.50,28.15,28.15,4459
26-May-17,28.63,28.70,28.40,28.60,5167
25-May-17,28.45,28.90,28.45,28.75,3698
24-May-17,28.60,28.67,28.35,28.60,3150
23-May-17,29.40,29.40,28.40,28.75,8352
22-May-17,29.60,29.60,29.10,29.15,8605
19-May-17,29.80,30.80,29.30,29.50,7800
18-May-17,29.60,30.60,29.60,29.95,9466
17-May-17,30.60,30.71,29.70,29.70,8110
16-May-17,30.60,30.80,30.60,30.80,3164
15-May-17,30.68,30.85,30.60,30.75,3028
12-May-17,30.65,30.85,30.60,30.60,7474
11-May-17,30.65,30.92,30.60,30.65,6446
10-May-17,31.30,31.35,30.60,30.70,4359
9-May-17,31.60,31.60,30.70,30.95,3914
8-May-17,31.35,31.60,31.24,31.25,3578
5-May-17,31.38,31.38,31.15,31.20,3512
4-May-17,31.00,31.40,30.90,31.35,4678
3-May-17,31.00,31.30,30.60,30.65,8123
2-May-17,30.85,31.30,30.60,31.00,6540
1-May-17,30.90,31.25,30.35,31.05,8797
28-Apr-17,30.70,31.00,30.35,30.95,4047
27-Apr-17,30.45,31.40,30.35,30.80,8115
26-Apr-17,30.00,31.60,29.95,30.90,10344
25-Apr-17,30.55,31.05,30.05,30.50,8832
24-Apr-17,30.40,31.40,30.25,31.10,12874
21-Apr-17,29.95,30.35,29.95,30.25,9026
20-Apr-17,30.10,30.50,29.95,30.00,6337
19-Apr-17,30.25,30.50,29.82,29.95,9687
18-Apr-17,29.55,30.70,29.30,30.40,5172
17-Apr-17,29.30,29.55,29.05,29.45,7848
13-Apr-17,29.30,29.55,29.30,29.30,3131
12-Apr-17,29.78,30.40,29.75,30.15,5341
11-Apr-17,29.45,30.00,29.45,29.80,5266
10-Apr-17,29.90,29.90,29.52,29.60,3244
7-Apr-17,29.90,29.90,29.60,29.75,5136
6-Apr-17,29.75,29.75,29.20,29.40,6888
5-Apr-17,29.50,29.80,29.25,29.25,5532
4-Apr-17,29.00,29.95,29.00,29.45,8108
3-Apr-17,29.25,29.35,28.55,29.10,4751
31-Mar-17,28.95,29.30,28.85,28.85,7863
30-Mar-17,29.15,29.40,28.50,28.90,20878
29-Mar-17,29.50,29.50,29.05,29.25,5182
28-Mar-17,29.25,29.85,29.05,29.35,10977
27-Mar-17,28.50,29.00,28.50,29.00,5235
24-Mar-17,29.30,29.45,28.75,28.90,5294
23-Mar-17,28.90,29.50,28.90,29.35,5056
22-Mar-17,29.25,29.25,28.18,28.55,21639
21-Mar-17,31.02,31.35,29.30,29.55,23827
20-Mar-17,30.60,32.00,30.55,30.60,10120
17-Mar-17,30.95,31.75,30.45,30.95,123359
16-Mar-17,30.65,31.20,30.25,31.10,10009
15-Mar-17,31.20,32.50,30.20,30.70,27249
14-Mar-17,31.30,31.30,30.05,31.05,14047
13-Mar-17,30.65,31.80,30.25,31.20,20291
10-Mar-17,30.30,30.70,29.60,30.30,15222
9-Mar-17,29.00,30.45,29.00,29.90,12557
8-Mar-17,29.50,30.50,29.30,29.90,12399
7-Mar-17,29.45,30.00,29.45,29.85,9167
6-Mar-17,29.70,30.00,29.50,29.85,11090
3-Mar-17,29.65,29.75,29.58,29.70,3675
2-Mar-17,29.30,29.75,29.30,29.50,7968
